org,address,DBA or Program Name (if Applicable),Organization Address,Borough,Website (if Available),Phone Number,Organization Type,Mission Statement or Organizational Summary,Population Served,Types of Services Provided,Description of Programs or Service Opportunities Available to Participants,Hours of Operation and Participant Schedule,Service Location(s),Expected Participant Activities/Duties
Acacia Housing and Preservation,"417 E 151st Street, Bronx, NY 10455",,"417 E 151st Street, Bronx, NY 10455",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
Acacia Housing and Preservation,"689 Melrose Avenue, Bronx, NY 10455",,"689 Melrose Avenue, Bronx, NY 10455",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
Acacia Housing and Preservation,"712 Courtlandt Avenue, Bronx, NY 10451",,"712 Courtlandt Avenue, Bronx, NY 10451",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
Acacia Housing and Preservation,"1680 Clay Avenue, Bronx, NY 10457",,"1680 Clay Avenue, Bronx, NY 10457",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
Acacia Housing and Preservation,"1705 Anthony Avenue, Bronx, NY 10457",,"1705 Anthony Avenue, Bronx, NY 10457",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
Acacia Housing and Preservation,"1087 Summit Avenue, Bronx, NY 10452",,"1087 Summit Avenue, Bronx, NY 10452",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
Acacia Housing and Preservation,"1707 Topping Avenue, Bronx, NY 10457",,"1707 Topping Avenue, Bronx, NY 10457",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
Acacia Housing and Preservation,"88 West 169th Street, Bronx, NY 10452",,"88 West 169th Street, Bronx, NY 10452",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
Acacia Housing and Preservation,"934 Ogden Avenue, Bronx, NY 10457",,"934 Ogden Avenue, Bronx, NY 10457",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
Acacia Housing and Preservation,"946 Anderson Avenue, Bronx, NY 10452",,"946 Anderson Avenue, Bronx, NY 10452",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
Acacia Housing and Preservation 3-64 Column P udated,"920 Prospect Avenue, Bronx, NY 10459",,"920 Prospect Avenue, Bronx, NY 10459",Bronx,https://acacianetwork.org,(516) 597-6774,Nonprofit,Nursing Home or Equivalent Hospital Facility,SNAP/Employment Program Participants,Community service/volunteer opportunities; Shelter/housing support,Legal Aid,Based on client participation,Various locations throughout New York City,Legal Aid
Academy of Medical and Public Services,"5306 3rd Ave, 2nd Floor, Brooklyn, NY 11220",RaisingHealth Partners,"5306 3rd Ave, 2nd Floor, Brooklyn, NY 11220",Brooklyn,https://raisinghealth.org,(609) 510-3367,501(c)(3) Nonprofit,"RaisingHealth Partners supports and sustains the wellbeing of underserved communities through culturally competent health, education, and community-building programs. Through a holistic approach, we address longstanding disparities in health and social services, fill gaps in care that underserved communities face, and ensure our local community gets the support they deserve.",Adults 25+; Youth 14-24; Older Adults 50+; SNAP/Employment Program Participants,Community service/volunteer opportunities; Education or training; Food pantry/meal service; Administrative/office support; Arts/recreation,"We provide structured ESOL classes at three levels (Beginner, Intermediate, and Advanced), workforce opportunities including job trainings and support finding jobs, and a wide variety of weekly volunteer opportunities (including food pantry, translation/interpretation, administrative, communications, and professional).","RaisingHealth operates Tuesday-Saturday, 10am-6pm. Clients can participate across these dates and times. Our ESOL classes take place on weekdays from 10am-3pm and Saturdays from 10am-5pm. Volunteer opportunities are particularly available on Fridays and Saturdays but there are regularly opportunities throughout the week.","Sunset Park, Brooklyn - at our office addresses (provided on previous page)","ESOL classes: Around 7 hours weekly. Involves regularly attending classes and taking required examinations and quizzes.
Workforce opportunities: Anywhere from 0 to 5 hours weekly. Job trainings, individualized case management for job support, mentorship for entrepreneurs, workforce literacy education.
Volunteering opportunities: food pantry support (packing, transport) on Friday and Saturday mornings and afternoons; food pantry support, translation/interpretation, and line management support for health events all day on Saturdays (roughly monthly); ongoing administrative and professional needs such as data entry and analysis, office organization and filing, marketing and communications, fundraising, and strategy. Hours very flexible."
Academy of Medical and Public Services,"423 39th Street, 3rd Floor, Brooklyn, NY 11232",RaisingHealth Partners,"423 39th Street, 3rd Floor, Brooklyn, NY 11232",Brooklyn,https://raisinghealth.org,(609) 510-3367,501(c)(3) Nonprofit,"RaisingHealth Partners supports and sustains the wellbeing of underserved communities through culturally competent health, education, and community-building programs. Through a holistic approach, we address longstanding disparities in health and social services, fill gaps in care that underserved communities face, and ensure our local community gets the support they deserve.",Adults 25+; Youth 14-24; Older Adults 50+; SNAP/Employment Program Participants,Community service/volunteer opportunities; Education or training; Food pantry/meal service; Administrative/office support; Arts/recreation,"We provide structured ESOL classes at three levels (Beginner, Intermediate, and Advanced), workforce opportunities including job trainings and support finding jobs, and a wide variety of weekly volunteer opportunities (including food pantry, translation/interpretation, administrative, communications, and professional).","RaisingHealth operates Tuesday-Saturday, 10am-6pm. Clients can participate across these dates and times. Our ESOL classes take place on weekdays from 10am-3pm and Saturdays from 10am-5pm. Volunteer opportunities are particularly available on Fridays and Saturdays but there are regularly opportunities throughout the week.","Sunset Park, Brooklyn - at our office addresses (provided on previous page)","ESOL classes: Around 7 hours weekly. Involves regularly attending classes and taking required examinations and quizzes.
Workforce opportunities: Anywhere from 0 to 5 hours weekly. Job trainings, individualized case management for job support, mentorship for entrepreneurs, workforce literacy education.
Volunteering opportunities: food pantry support (packing, transport) on Friday and Saturday mornings and afternoons; food pantry support, translation/interpretation, and line management support for health events all day on Saturdays (roughly monthly); ongoing administrative and professional needs such as data entry and analysis, office organization and filing, marketing and communications, fundraising, and strategy. Hours very flexible."
Aempowerments Global Foundation Inc.,2622 Adam Clayton Powell Jr Blvd NYC NY 10039,Aempowerment,2622 Adam Clayton Powell Jr Blvd NYC NY 10039,Manhattan,,(332) 201-5438,501(c)(3) Nonprofit,"Aempowerment Organization is a 501(c)(3) Nonprofit dedicated to empowering underserved individuals and families by connecting them to essential resources that promote stability, dignity, and self-sufficiency. Our mission is to reduce barriers to basic needs by providing community-based support services and many more.",SNAP/Employment Program Participants; Youth 14-24; Adults 25+; Older Adults 50+; Individuals with disabilities,Education or training; Community service/volunteer opportunities,"Mental health awareness, community service, driving school program and school supports",Monday - Saturday (10am - 6pm),"Harlem, Nyc","Participants will engage in structured activities such as life skills workshops, educational support sessions, community service projects, and wellness programs. They may also take part in mentorship meetings, group discussions, and goal-setting activities."
